axis,size,objective,seed,dir1_auc,mag_r2,vol20_r2,regime_bacc,effective_rank,supervised_sharpe
feature,12,predictive,222,0.5375119731800766,-0.052527683631589106,-0.03292067497697038,0.583302196205422,2.0591814517974854,1.043127999125372
feature,12,predictive,333,0.5124920178799489,0.02415555051862206,0.0673039304476718,0.5863467153789735,3.176659107208252,0.7985674216082687
feature,12,predictive,444,0.5169620051085568,0.004270240284551252,-0.014122213349897494,0.5935151741603355,2.6513760089874268,0.8055448360525693
feature,12,predictive,555,0.5200949872286079,0.07806711692546486,0.15709344546577952,0.5741132837907031,2.5765464305877686,0.8955520286563246
feature,12,predictive,666,0.5045098978288634,-0.009172026808244027,0.12721507902543583,0.5707919901468288,2.3252768516540527,0.1477930171762324
feature,12,predictive,777,0.5157527139208173,-0.03991643477916762,-0.04329197843521526,0.5885193949710078,2.9471306800842285,0.8540373176268747
feature,12,predictive,888,0.5258101851851851,-0.01089424000366579,0.18260382580128676,0.597206339141823,2.531848907470703,0.7491744030383571
feature,12,predictive,999,0.5155611430395913,-0.053467769586084124,0.133565811505452,0.5996696319276964,2.2411084175109863,0.7811522864426204
feature,16,predictive,20260814,0.5029134738186463,-0.024584092195914842,0.01680196276529078,0.5746253165608004,2.4121456146240234,0.6466207164131468
feature,16,predictive,111,0.5092991698595147,-0.014748887181791126,-0.049922456446250374,0.5706951190822158,2.281172752380371,0.7570769419210713
feature,16,predictive,222,0.5211406449553001,0.007547354331153944,0.07277437588161773,0.7710848678590615,2.167396306991577,0.7715928617642739
feature,16,predictive,333,0.5229286398467433,0.048685828212489235,0.027075984701974365,0.5766596089176734,2.488109588623047,0.947504201410178
feature,16,predictive,444,0.5247246168582376,-0.07905649597473619,-0.3683993851421914,0.6443787734110316,2.2751448154449463,0.7412506375894071
feature,16,predictive,555,0.532734674329502,0.007548991999285493,0.15714424711180952,0.6064921226211548,2.3994593620300293,1.2583390301465673
feature,16,predictive,666,0.5336127075351214,-0.038507361050604594,0.06869720935846335,0.5814062910837104,2.494157075881958,1.2524552164798688
feature,16,predictive,777,0.5238066730523627,-0.026841047496462433,0.10353413854623383,0.5712209905758293,2.1776626110076904,1.0598997025931125
feature,16,predictive,888,0.49022589399744576,0.032810451681633435,0.008470915971354964,0.5643016288177578,2.731945037841797,0.468273321122481
feature,16,predictive,999,0.52117656449553,-0.01623176034229612,-0.05549797453591765,0.5983448886674693,2.4822123050689697,0.6612997025044951
feature,24,predictive,20260814,0.51735312899106,0.05586704765671924,-0.23464404484777512,0.6138580977290654,3.3483808040618896,0.4733495103294525
feature,24,predictive,111,0.5194324712643678,0.003943235253850319,-0.038359144718987714,0.595992305669725,2.9513206481933594,0.6257856002658041
feature,24,predictive,222,0.5286637931034482,-0.011266828150435337,0.0005411071923906441,0.6263544650641425,2.876368761062622,0.3769333342456947
feature,24,predictive,333,0.5315573116219667,-0.002081275239355529,0.01771550415344214,0.6193243935179419,2.8694369792938232,1.1118521089695057
feature,24,predictive,444,0.5323395593869731,-0.0029679571497573942,-0.23728792783768804,0.6157124866802286,2.9370405673980713,0.5555631130100198
feature,24,predictive,555,0.5373762771392081,-0.009825467190027748,-0.5806946977276382,0.6119621926073538,2.825788736343384,0.9506170702408661
feature,24,predictive,666,0.5223579182630906,0.02040056692947223,0.036071067495321185,0.6004206971948908,2.7974658012390137,0.5690034372819222
