rep,algo,seed,metric,group,value
auto,BC,111,corr_behavior,all,0.9298685979092501
auto,BC,111,action_std,all,0.17252513766288757
auto,BC,111,behavior_action_std,all,0.4643709659576416
auto,BC,111,js_divergence,all,0.42686691865864806
auto,BC,111,sharpe,all,0.7472665621535737
auto,BC,111,sharpe_regime,bull,0.5514874835592857
auto,BC,111,sharpe_regime,bear,1.173075552365139
auto,BC,111,sharpe_regime,crisis,3.598990403485661
auto,BC,111,sharpe_year,2021,2.1805192602139223
auto,BC,111,sharpe_year,2022,-0.1599761397719908
auto,BC,111,sharpe_year,2023,0.6034980247087322
auto,BC,111,sharpe_year,2024,1.5823044161793767
auto,BC,222,divergence,all,0.04973113536834717
auto,BC,222,corr_behavior,all,0.9391737104006643
auto,BC,222,action_std,all,0.17495617270469666
auto,BC,222,behavior_action_std,all,0.4643709659576416
auto,BC,222,js_divergence,all,0.4214104890205414
auto,BC,222,sharpe,all,0.7510573538248014
auto,BC,222,sharpe_regime,bull,0.4948993593311552
auto,BC,222,sharpe_regime,bear,1.284050379212938
auto,BC,222,sharpe_regime,crisis,3.846502854318288
auto,BC,222,sharpe_year,2021,2.1727651518024853
auto,BC,222,sharpe_year,2022,0.07178043078606645
auto,BC,222,sharpe_year,2023,0.21140776520781224
auto,BC,222,sharpe_year,2024,1.3919939762299944
auto,A2C,20260814,divergence,all,0.9013558030128479
auto,A2C,20260814,corr_behavior,all,-0.3577959697436193
auto,A2C,20260814,action_std,all,0.8779705762863159
auto,A2C,20260814,behavior_action_std,all,0.4643709659576416
auto,A2C,20260814,js_divergence,all,0.530336288772909
auto,A2C,20260814,sharpe,all,0.5622569294156201
auto,A2C,20260814,sharpe_regime,bull,0.6355979951360748
auto,A2C,20260814,sharpe_regime,bear,0.5587318131658363
auto,A2C,20260814,sharpe_regime,crisis,-4.240311207914959
auto,A2C,20260814,sharpe_year,2021,-0.40813910857818775
auto,A2C,20260814,sharpe_year,2022,0.9033564246870357
auto,A2C,20260814,sharpe_year,2023,1.9885604934927918
auto,A2C,20260814,sharpe_year,2024,-0.3758522928209261
auto,A2C,111,divergence,all,0.21889713406562805
auto,A2C,111,corr_behavior,all,-0.27227139872899625
auto,A2C,111,action_std,all,0.1473466455936432
auto,A2C,111,behavior_action_std,all,0.4643709659576416
auto,A2C,111,js_divergence,all,0.4808009672964085
auto,A2C,111,sharpe,all,0.3062502551273123
auto,A2C,111,sharpe_regime,bull,0.7713369701825727
auto,A2C,111,sharpe_regime,bear,-0.5060610098532045
auto,A2C,111,sharpe_regime,crisis,1.2690936204390302
auto,A2C,111,sharpe_year,2021,-0.0772755620204706
auto,A2C,111,sharpe_year,2022,0.19130041366178785
auto,A2C,111,sharpe_year,2023,1.3017847856301987
auto,A2C,111,sharpe_year,2024,-0.03760654762369041
auto,A2C,222,divergence,all,0.48060908913612366
auto,A2C,222,corr_behavior,all,0.27223298400445817
auto,A2C,222,action_std,all,0.4481404423713684
auto,A2C,222,behavior_action_std,all,0.4643709659576416
auto,A2C,222,js_divergence,all,0.33811170740676144
auto,A2C,222,sharpe,all,0.8884143010654929
auto,A2C,222,sharpe_regime,bull,0.9403022958037102
auto,A2C,222,sharpe_regime,bear,0.9622700885800214
auto,A2C,222,sharpe_regime,crisis,4.7628737721265955
auto,A2C,222,sharpe_year,2021,2.24165916216628
auto,A2C,222,sharpe_year,2022,-0.45794181253175276
auto,A2C,222,sharpe_year,2023,1.7148141505773988
auto,A2C,222,sharpe_year,2024,2.012837193864906
auto,IQL,20260814,divergence,all,0.05913316830992699
auto,IQL,20260814,corr_behavior,all,0.9160552650125583
auto,IQL,20260814,action_std,all,0.16562753915786743
auto,IQL,20260814,behavior_action_std,all,0.4643709659576416
auto,IQL,20260814,js_divergence,all,0.4366144324070563
auto,IQL,20260814,sharpe,all,0.5561895731774952
auto,IQL,20260814,sharpe_regime,bull,0.2774613471484383
auto,IQL,20260814,sharpe_regime,bear,1.06012421781442
auto,IQL,20260814,sharpe_regime,crisis,3.4061010798458184
auto,IQL,20260814,sharpe_year,2021,1.980095802867347
auto,IQL,20260814,sharpe_year,2022,-0.10801313854241958
auto,IQL,20260814,sharpe_year,2023,0.3524217712640256
auto,IQL,20260814,sharpe_year,2024,1.1722996305055697
auto,IQL,111,divergence,all,0.056496161967515945
auto,IQL,111,corr_behavior,all,0.922246717792614
auto,IQL,111,action_std,all,0.1718319207429886
auto,IQL,111,behavior_action_std,all,0.4643709659576416
auto,IQL,111,js_divergence,all,0.4238361360397877
auto,IQL,111,sharpe,all,0.6863165496970671
auto,IQL,111,sharpe_regime,bull,0.5144482740404471
auto,IQL,111,sharpe_regime,bear,1.0465000963352118
auto,IQL,111,sharpe_regime,crisis,4.128764415072149
auto,IQL,111,sharpe_year,2021,2.194104673018979
auto,IQL,111,sharpe_year,2022,-0.19070674395943804
auto,IQL,111,sharpe_year,2023,0.5766395130570472
auto,IQL,111,sharpe_year,2024,1.4664371228562718
auto,IQL,222,divergence,all,0.06853894144296646
auto,IQL,222,corr_behavior,all,0.884191952957642
auto,IQL,222,action_std,all,0.14161884784698486
auto,IQL,222,behavior_action_std,all,0.4643709659576416
auto,IQL,222,js_divergence,all,0.48470771813329405
auto,IQL,222,sharpe,all,0.8025910686556637
auto,IQL,222,sharpe_regime,bull,0.5631242932003302
auto,IQL,222,sharpe_regime,bear,1.3672616117599032
auto,IQL,222,sharpe_regime,crisis,4.304438937053349
auto,IQL,222,sharpe_year,2021,1.9003497929704698
auto,IQL,222,sharpe_year,2022,0.06253167305762368
auto,IQL,222,sharpe_year,2023,0.3297555758571839
auto,IQL,222,sharpe_year,2024,1.3367366457752363
auto,CQL,20260814,divergence,all,0.8749708533287048
auto,CQL,20260814,corr_behavior,all,0.6346517122323871
auto,CQL,20260814,action_std,all,0.18741223216056824
auto,CQL,20260814,behavior_action_std,all,0.4643709659576416
auto,CQL,20260814,js_divergence,all,0.6609182816427466
auto,CQL,20260814,sharpe,all,0.8219013673605505
auto,CQL,20260814,sharpe_regime,bull,0.9635328405153286
auto,CQL,20260814,sharpe_regime,bear,0.5670019582268438
auto,CQL,20260814,sharpe_regime,crisis,0.8382194330211152
