objective,dim,algo,seed,val_sharpe,test_sharpe,test_turnover
predictive,128,IQL,111,0.0006730762604322489,0.6249365027343784,0.06090391666920327
predictive,128,IQL,222,-0.035226219559791494,0.6093260208198397,0.06598853723885056
predictive,128,CQL,20260814,0.3531212116917342,0.6580204392402828,0.048420130945186116
predictive,128,CQL,111,0.210250315775436,0.5497662111253901,0.09433390115994719
predictive,128,CQL,222,0.7740702490924385,0.7937643813698395,0.012415045054990853
contrastive,4,BC,20260814,-0.3096538482538067,0.457601463390694,0.02183501774454443
contrastive,4,BC,111,-0.41342132350542793,0.5544705692452148,0.03340216515376117
contrastive,4,BC,222,0.28862434019668554,0.21414333592345128,0.012628920590945182
contrastive,4,A2C,20260814,0.15679984626989496,-0.6163680969161272,0.06428446911138701
contrastive,4,A2C,111,0.85651829961443,0.7783547626699475,0.018441065804875312
contrastive,4,A2C,222,0.765807322653307,0.78995108857107,0.025146236437470167
contrastive,4,IQL,20260814,-0.4699898308125635,0.4831036253596951,0.029090946421272756
contrastive,4,IQL,111,0.3317886511146695,1.0178966042376336,0.013246233690418859
contrastive,4,IQL,222,0.15801763150497897,0.7884295381986999,0.022053495060133547
contrastive,4,CQL,20260814,1.4801817305934672,0.4099053600750111,0.026896782553713045
contrastive,4,CQL,111,1.2906959771813395,0.34772218160971236,0.01770913411471622
contrastive,4,CQL,222,0.4296518264771199,0.6899275517968141,0.019252060029356838
contrastive,8,BC,20260814,-0.2698630238164005,0.4149523098674795,0.030213809080783333
contrastive,8,BC,111,-0.37242110327101624,0.36625938801600455,0.03731034605367693
contrastive,8,BC,222,-0.23567099278838438,0.41561934787792615,0.025869108368156115
contrastive,8,A2C,20260814,0.2665936631256663,0.6056377086821995,0.06556994782492
contrastive,8,A2C,111,1.3408900286108674,0.7151225828494443,0.041214107324494355
contrastive,8,A2C,222,0.7398857402938198,0.6607167418317482,0.034204585501803685
contrastive,8,IQL,20260814,-0.12094275410108672,0.37609678672023444,0.03867592014411733
contrastive,8,IQL,111,-0.1633170644111184,0.4925105457365635,0.02274739342632782
contrastive,8,IQL,222,0.9348182584119554,0.41424074003580313,0.014066317661744149
contrastive,8,CQL,20260814,0.0140861913307785,0.46906034393734286,0.05388566133246493
contrastive,8,CQL,111,-0.19343724720143995,0.4175917694030327,0.08012591585174055
contrastive,8,CQL,222,0.9382944481753733,0.7823600505615657,0.0022662270128430417
contrastive,16,BC,20260814,0.6735450140225093,0.5023298504509796,0.019325254329385245
contrastive,16,BC,111,0.5054623984235747,0.412223997074084,0.019935406300364368
contrastive,16,BC,222,-0.1888000385233215,0.5491668558588353,0.060047812725530836
contrastive,16,A2C,20260814,1.209960266088086,0.5522168470517238,0.04711085013322421
contrastive,16,A2C,111,1.3221400366328544,0.6704826370640002,0.020141681383794813
contrastive,16,A2C,222,0.76809417258268,0.90814084532836,0.018514381845792134
contrastive,16,IQL,20260814,0.5639841170068408,0.8030031384918678,0.023277513184051832
contrastive,16,IQL,111,-0.001829856206406254,0.5394657951233208,0.017066751659409934
contrastive,16,IQL,222,0.027948707297418506,0.44388132908100847,0.02430957767548299
contrastive,16,CQL,20260814,0.346407639603053,0.18184703403310792,0.027487922458914085
contrastive,16,CQL,111,0.11174257028520956,0.523655411687814,0.0746323475745085
contrastive,16,CQL,222,0.2784785920862496,0.5517690407290247,0.07610447942117109
contrastive,32,BC,20260814,0.07653816246019535,0.6308691501994353,0.05275641843926773
contrastive,32,BC,111,-0.09795603295737178,0.5251468599619088,0.048321768017578405
contrastive,32,BC,222,-0.052462866535316864,0.501958290562935,0.03251035212242596
contrastive,32,A2C,20260814,0.7887794635061419,0.9369706598140451,0.10750816184564016
contrastive,32,A2C,111,0.9279150461304321,1.1078293061439801,0.12741317294945764
contrastive,32,A2C,222,0.5626334807016286,0.7480915500459998,0.06958238644275203
contrastive,32,IQL,20260814,-0.08112093731853512,0.6823874609302814,0.0489294051830958
contrastive,32,IQL,111,-0.032564424372999994,0.36628152494807864,0.02687489037478426
contrastive,32,IQL,222,-0.08105740845039452,0.5055534542186246,0.03535036432344828
contrastive,32,CQL,20260814,0.27468913771417136,0.58744942574321,0.08596215446790059
contrastive,32,CQL,111,0.2723846639911893,0.6033193520278187,0.09052648817082469
contrastive,32,CQL,222,0.13298668964681662,0.48635336312434135,0.09177769964018753
