model,feature,lag,ik,da,dh,dh_rel
DDR,ret_20d,14,6.839732122898567e-07,0.0003727263247128576,0.0035724318586289883,0.0017506063602090746
DDR,ret_20d,15,3.647880362223077e-07,0.0002822526730597019,0.002916652010753751,0.00142925317055638
DDR,ret_20d,16,2.710115722948103e-07,0.00023765243531670421,0.0026094524655491114,0.001278715525901356
DDR,ret_20d,17,2.917477956998482e-07,0.0002470847393851727,0.002372822491452098,0.0011627592378423536
DDR,ret_20d,18,3.725337762716663e-07,0.00022436452854890376,0.0021766754798591137,0.0010666409017567324
DDR,ret_20d,19,2.1907270308929583e-07,0.00017841695807874203,0.001914148684591055,0.0009379943394964952
DDR,ret_20d,20,2.081913095253185e-07,0.00017688822117634118,0.0020570692140609026,0.0010080299896629292
DDR,rv20,1,0.000665951578412205,0.017539972439408302,0.12271620333194733,0.06013488137911262
DDR,rv20,2,0.00012968902592547238,0.00833477359265089,0.06558319181203842,0.03213787057453562
DDR,rv20,3,9.243858221452683e-05,0.00671396404504776,0.044203247874975204,0.021661011303803386
DDR,rv20,4,5.542880535358563e-05,0.005031262990087271,0.031476184725761414,0.01542434155684095
DDR,rv20,5,2.6061472453875467e-05,0.0034837389830499887,0.023912250995635986,0.011717771069240586
DDR,rv20,6,2.0885032427031547e-05,0.002695132978260517,0.019313009455800056,0.009463994983259618
DDR,rv20,7,1.1613403330557048e-05,0.0018862460274249315,0.014888680540025234,0.007295931701407472
DDR,rv20,8,7.651387932128273e-06,0.0014613070525228977,0.011699039489030838,0.005732905132498283
DDR,rv20,9,5.441752819024259e-06,0.001155015197582543,0.009838003665208817,0.004820937800807851
DDR,rv20,10,3.4633239920367487e-06,0.0009360108524560928,0.008096011355519295,0.003967305614818974
DDR,rv20,11,5.200351552048232e-06,0.0008209826773963869,0.006678955629467964,0.003272902792045979
DDR,rv20,12,1.3991070773045067e-06,0.0006161034689284861,0.005448491312563419,0.002669935753226074
DDR,rv20,13,2.739996716627502e-06,0.0005603244062513113,0.0048366389237344265,0.002370108429492538
DDR,rv20,14,2.693870328585035e-06,0.0004770887899212539,0.003868867177516222,0.0018958691882126726
DDR,rv20,15,7.862176403250487e-07,0.0003860846918541938,0.0033234746661037207,0.0016286093391597247
DDR,rv20,16,9.227514965459704e-07,0.000357159529812634,0.003003824269399047,0.0014719703773379842
DDR,rv20,17,5.291146294439386e-07,0.0002718872274272144,0.0023608077317476273,0.0011568716196630941
DDR,rv20,18,3.748176879980747e-07,0.00024662917712703347,0.002073381096124649,0.0010160233358253762
DDR,rv20,19,2.2091118978551094e-07,0.00021697531337849796,0.0018821497214958072,0.0009223138197465301
DDR,rv20,20,2.0291469127187156e-07,0.00021588134404737502,0.0019567792769521475,0.0009588846990834937
DDR,rsi,1,0.0034040003083646297,0.04615272581577301,0.21211272478103638,0.10394204837974573
DDR,rsi,2,0.00030608620727434754,0.013088461942970753,0.09400305151939392,0.046064514700657526
DDR,rsi,3,6.003148155286908e-05,0.005668831989169121,0.05556393787264824,0.02722811431746943
DDR,rsi,4,1.7861206288216636e-05,0.0029423688538372517,0.03709433227777481,0.01817741431689695
DDR,rsi,5,1.1497033483465202e-05,0.0022412205580621958,0.028152186423540115,0.013795475619163984
DDR,rsi,6,8.84929522726452e-06,0.0017817526822909713,0.02132422663271427,0.010449556001915123
DDR,rsi,7,4.843399892706657e-06,0.0014627184718847275,0.01684090867638588,0.008252586195414711
DDR,rsi,8,4.115233423362952e-06,0.0011708432575687766,0.013385836035013199,0.00655948962133684
DDR,rsi,9,3.1993238280847436e-06,0.0009829513728618622,0.011155497282743454,0.005466551992389981
DDR,rsi,10,2.163128556276206e-06,0.0008561712456867099,0.008897533640265465,0.004360077279906646
DDR,rsi,11,1.8711632492340868e-06,0.0006818550755269825,0.007021923083811998,0.0034409678610742797
DDR,rsi,12,1.0571526445346535e-06,0.0005503451102413237,0.0061471774242818356,0.0030123143903467865
DDR,rsi,13,8.832145113046863e-07,0.0004890555865131319,0.004884801805019379,0.0023937097883539467
DDR,rsi,14,6.276284238992957e-07,0.0004114767361897975,0.004298248328268528,0.0021062797441607863
DDR,rsi,15,4.794093797499954e-07,0.0003345917211845517,0.003666852368041873,0.0017968754426866372
DDR,rsi,16,4.4654879616246035e-07,0.0003072525141760707,0.0032234294340014458,0.0015795839618935926
DDR,rsi,17,3.8045544670239906e-07,0.0002893591590691358,0.002802139613777399,0.0013731384178045885
DDR,rsi,18,2.3707389118499123e-07,0.00023169159248936921,0.002393662463873625,0.001172971493726139
DDR,rsi,19,3.427115871090791e-07,0.0002631947281770408,0.0024941025767475367,0.0012221903752542718
DDR,rsi,20,4.1566033814888215e-07,0.00029717167490161955,0.0028747268952429295,0.001408708517286517
DDR,macd,1,0.005090890917927027,0.05040602385997772,0.500093400478363,0.2450618296501221
DDR,macd,2,0.0013082555960863829,0.02374333329498768,0.2686229646205902,0.1316338810570047
DDR,macd,3,0.0005452236509881914,0.016912981867790222,0.18872573971748352,0.09248167448920425
DDR,macd,4,0.000481128110550344,0.015800457447767258,0.14042893052101135,0.06881468664927494
DDR,macd,5,0.0003947722143493593,0.013305987231433392,0.10960030555725098,0.05370767017597234
