model,perturbation,unit,dh,dh_rel,da,da_sgn
TACR,cf_last+1,rv20,0.8201107978820801,0.3913127908359067,0.01589747704565525,-0.014863081276416779
TACR,cf_last-1,rv20,0.6453408598899841,0.30792197051440806,0.017715057358145714,0.017388463020324707
TACR,zero_feature,rsi,0.7107094526290894,0.33911234933128714,0.01716522127389908,-0.012267101556062698
TACR,perm_feature,rsi,0.6288469433784485,0.30005196012238355,0.014046763069927692,-0.006445877719670534
TACR,cf_last+1,rsi,0.9464223384857178,0.4515818686191007,0.020984914153814316,-0.0013021870981901884
TACR,cf_last-1,rsi,0.9352664351463318,0.4462588711883823,0.01925150491297245,-0.017132241278886795
TACR,zero_feature,macd,0.8559551239013672,0.4084157765379144,0.021270329132676125,-0.00015674660971853882
TACR,perm_feature,macd,0.9637953639030457,0.4598713425278386,0.02360006421804428,-0.0012836437672376633
TACR,cf_last+1,macd,1.046589732170105,0.4993763647708664,0.029963025823235512,-0.02085420861840248
TACR,cf_last-1,macd,1.092462182044983,0.5212642321533901,0.02365756407380104,0.01702221855521202
TACR,zero_feature,volz,0.5010376572608948,0.23906823868551982,0.005053878761827946,0.0003727807488758117
TACR,perm_feature,volz,0.6623286604881287,0.3160276358457157,0.006543304771184921,0.0018938037101179361
TACR,cf_last+1,volz,0.7706583738327026,0.3677167522051057,0.0065847039222717285,0.0006049792864359915
TACR,cf_last-1,volz,0.6337661743164062,0.3023991527115676,0.007183373905718327,0.0010733498493209481
TACR,zero_feature,boll,0.5599799752235413,0.2671923445988491,0.021257899701595306,-0.0049302647821605206
TACR,perm_feature,boll,0.5811911225318909,0.2773131639704473,0.02515515871345997,-0.0009115312714129686
TACR,cf_last+1,boll,0.6806640625,0.32477630413650355,0.026704298332333565,0.024333903566002846
TACR,cf_last-1,boll,0.8223151564598083,0.39236459226235,0.03880276903510094,-0.03536093980073929
D,mask_lag,lag1,0.03366994112730026,0.03404871167855494,0.005002065561711788,0.0005395329208113253
D,mask_lag,lag2,0.03186551481485367,0.03222398644290917,0.005070787388831377,0.0009541179751977324
D,mask_lag,lag3,0.036213286221027374,0.036620668174349544,0.005622179713100195,0.000498351757414639
D,mask_lag,lag5,0.03815557435154915,0.03858480610683894,0.0057818531058728695,0.0014579211128875613
D,mask_lag,lag10,0.03719957172870636,0.0376180489169155,0.00607953779399395,0.0008757555624470115
D,mask_lag,lag15,0.05019787326455116,0.0507625750576532,0.007509554270654917,0.00242756400257349
D,cf_last+1,state,1.309561014175415,1.3242929421394551,0.3333883285522461,-0.3266957104206085
D,cf_last-1,state,1.6672512292861938,1.686006999152531,0.43663349747657776,0.41827982664108276
