representation,rep,seed,target,family,val_accuracy,val_balanced_accuracy,val_auc,val_log_loss,test_accuracy,test_balanced_accuracy,test_auc,test_log_loss,val_r2,val_mae,val_spearman,test_r2,test_mae,test_spearman
replab auto (128d),auto,333,vol_20,gbdt,,,,,,,,,0.102250573032962,0.7951029285309845,0.3038273392556647,0.2231796844806668,0.3781888283833624,0.5382742824452575
replab auto (128d),auto,333,vol_20,mlp,,,,,,,,,-0.3325936369629638,0.884519707822386,0.2611717382918416,-0.122455443787858,0.4470655186854574,0.3965586679528002
replab auto (128d),auto,444,direction_1,linear,0.5584158415841585,0.5373998147970751,0.5451671616055178,0.6954562028596895,0.5249003984063745,0.509802043422733,0.5146072796934866,0.7041664574034381,,,,,,
replab auto (128d),auto,444,direction_1,gbdt,0.5584158415841585,0.5432832008174473,0.544911709295271,0.7291938346880208,0.5109561752988048,0.5015405491698595,0.4919500319284802,0.7619982673725839,,,,,,
replab auto (128d),auto,444,direction_1,mlp,0.5643564356435643,0.5233898521569754,0.5294887760641185,0.68932181421835,0.5318725099601593,0.5079422094508301,0.5248283844189016,0.6967235962491537,,,,,,
replab auto (128d),auto,444,magnitude_1,linear,,,,,,,,,0.2989499272253836,0.6756968748390538,0.3716328241123685,0.0516224774648771,0.5459224699523065,0.2770168126678323
replab auto (128d),auto,444,magnitude_1,gbdt,,,,,,,,,0.2538115470335272,0.6606213376256606,0.4506372947225772,0.0334634871639364,0.5399760027581748,0.3412120667823847
replab auto (128d),auto,444,magnitude_1,mlp,,,,,,,,,0.2468717268918285,0.652891081876269,0.374808809486744,0.0570143720390785,0.5363897572144171,0.3121379760111293
replab auto (128d),auto,444,vol_20,linear,,,,,,,,,0.023144677571925,0.7561805189854137,0.369201547483941,0.1013013082748869,0.4050381149201784,0.3951740612225987
replab auto (128d),auto,444,vol_20,gbdt,,,,,,,,,0.1378562921814045,0.7173311148434106,0.3770218015590379,0.1797065477721523,0.3917537956953159,0.4787391312973683
replab auto (128d),auto,444,vol_20,mlp,,,,,,,,,-0.0413209296627705,0.7440083312362045,0.3213832873970627,-0.0650480302055029,0.4469133659584828,0.374887850483719
replab auto (128d),auto,555,direction_1,linear,0.5524752475247525,0.5316202062777405,0.5449915381422231,0.7117641959107457,0.5039840637450199,0.4891443167305236,0.4940014367816092,0.7250525344744478,,,,,,
replab auto (128d),auto,555,direction_1,gbdt,0.5425742574257426,0.5282274802822748,0.5458536896893061,0.7335235005413322,0.5129482071713147,0.5029374201787995,0.4933508939974457,0.7675252365199242,,,,,,
replab auto (128d),auto,555,direction_1,mlp,0.5207920792079208,0.4897419931666507,0.5141776032186991,0.7157305251432515,0.5308764940239044,0.508684546615581,0.5095785440613028,0.7136920716026852,,,,,,
replab auto (128d),auto,555,magnitude_1,linear,,,,,,,,,0.2908480342838846,0.6555130040002695,0.419388843062618,-0.0228183547500333,0.5420555945641725,0.3010172085308479
replab auto (128d),auto,555,magnitude_1,gbdt,,,,,,,,,0.2765034942327992,0.6699991212499774,0.4232031842129055,0.0472930872369765,0.5355040052527479,0.3647403581155811
replab auto (128d),auto,555,magnitude_1,mlp,,,,,,,,,0.3402241431212384,0.6518749061634272,0.4189213273560586,0.0315234737875506,0.5469080347186056,0.3247372360077916
replab auto (128d),auto,555,vol_20,linear,,,,,,,,,0.1508469916997928,0.6961146408178914,0.4850371683131046,0.0606180691718652,0.4133923699657195,0.4180826356661957
replab auto (128d),auto,555,vol_20,gbdt,,,,,,,,,0.220887299907931,0.7073108282295353,0.3408626887533474,0.2848835055984257,0.3627192082305603,0.5571840733749025
replab auto (128d),auto,555,vol_20,mlp,,,,,,,,,0.0424321928648023,0.7483922774819016,0.3408584026104474,-0.0511844772022669,0.4483074594550563,0.3754846293070173
replab auto (128d),auto,666,direction_1,linear,0.5405940594059406,0.5280837883577609,0.5265031771881088,0.7237564353612848,0.5278884462151394,0.5139447637292465,0.5201748084291188,0.7076029369801345,,,,,,
replab auto (128d),auto,666,direction_1,gbdt,0.5287128712871287,0.5095714787495609,0.5295366733722898,0.7483044333556781,0.5348605577689243,0.5243694125159643,0.5101333014048531,0.7568359681592995,,,,,,
replab auto (128d),auto,666,direction_1,mlp,0.5425742574257426,0.5191349746144267,0.5426445700418303,0.6922926613182561,0.5249003984063745,0.5091954022988505,0.5140724776500638,0.70171650476828,,,,,,
replab auto (128d),auto,666,magnitude_1,linear,,,,,,,,,0.2339925097666509,0.6702931085470414,0.3656536546275822,-0.0407310668217242,0.5509151820158427,0.2539217166065036
replab auto (128d),auto,666,magnitude_1,gbdt,,,,,,,,,0.2363036745463006,0.6845837228189096,0.4230245638622381,0.0448375401575164,0.5386894997205639,0.3446033913025844
replab auto (128d),auto,666,magnitude_1,mlp,,,,,,,,,0.2442270534335695,0.6693731481006976,0.3546787059454093,0.0656762230224914,0.5302402165150225,0.2811994778618283
replab auto (128d),auto,666,vol_20,linear,,,,,,,,,0.1396575789358135,0.7494975726230352,0.3358074627338511,0.129352465130055,0.3915941824254322,0.5333014562422888
replab auto (128d),auto,666,vol_20,gbdt,,,,,,,,,0.1705204947314634,0.7610282171240307,0.3542235279428564,0.2409656696814889,0.3807358067259601,0.5462350962252016
