algo,rep,seed,val_sharpe,test_sharpe,test_return,test_maxdd,test_turnover
A2C,predictive,666,0.6664349907202499,0.5431403819505851,0.0394110679626464,-0.0206144013231235,0.0146202789616669
A2C,predictive,777,0.6914199855324423,0.6101690459799972,0.2545291185379028,-0.1651771961460066,0.0936358255847352
A2C,predictive,888,0.5299340062157089,0.7192944592479922,0.0493048429489135,-0.0177941963602334,0.0210530600113798
A2C,predictive,999,0.147085728083326,0.5363136877505129,0.1933010816574096,-0.1296000741293933,0.0717680625252041
IQL,predictive,20260814,0.0739632829403524,0.6430685440234303,0.0889797210693359,-0.0412944733834108,0.0529059189577953
IQL,predictive,111,0.0006730762604322,0.6249365027343784,0.1116368770599365,-0.0550099776964921,0.0609039166692032
IQL,predictive,222,-0.0352262195597914,0.6093260208198397,0.090617299079895,-0.0479653110949973,0.0659885372388505
IQL,predictive,333,0.0064498924009838,0.6652190737325153,0.1044315099716186,-0.0481323883685205,0.0703856552396182
IQL,predictive,444,0.0412167291463074,0.5818306387134867,0.0838533639907836,-0.0462414649661311,0.0623031275468503
IQL,predictive,555,0.1198246558285212,0.5824108996716275,0.0797449350357055,-0.044054488076149,0.0633826999501695
IQL,predictive,666,0.0768854983501071,0.6381468852159903,0.1013685464859008,-0.0486736775676356,0.0663434107852775
IQL,predictive,777,0.0359909726495054,0.6083832808461677,0.092903733253479,-0.0507009237974703,0.0618639257429538
IQL,predictive,888,0.1380427665790912,0.7065211098821575,0.102946400642395,-0.0443153675089308,0.0712778704668353
IQL,predictive,999,0.186055153236204,0.6167792956026783,0.0870050191879272,-0.0445842400349808,0.0638346903717645
BC,contrastive,20260814,0.1823882133032975,0.6036568627300597,0.0778498649597168,-0.0440616445402376,0.0561051259779334
BC,contrastive,111,0.0831161222560789,0.7236840446292794,0.1016732454299926,-0.046826919329618,0.0529787231751008
BC,contrastive,222,0.2578582916925446,0.4740673826367028,0.0681153535842895,-0.0654569850575108,0.0526607247919715
BC,contrastive,333,0.2821754040665353,0.7793284205607939,0.0881388187408447,-0.0401849410771725,0.0536534329009849
BC,contrastive,444,0.1533697548705825,0.6874480054026691,0.0934423208236694,-0.0468870829416954,0.0570965457225765
BC,contrastive,555,0.1160476109903357,0.6268897934461695,0.0992263555526733,-0.0516002059562973,0.0599186492727638
BC,contrastive,666,0.1872111833105226,0.6046284362729043,0.0827541351318359,-0.0546483369437753,0.056214380317451
BC,contrastive,777,0.0738386077300358,0.5843737047664462,0.0801970958709716,-0.0501490140871179,0.0558780573936299
BC,contrastive,888,0.2380295110749154,0.7711132275314945,0.1070475578308105,-0.0391970280852019,0.0607840204176455
BC,contrastive,999,0.15869545330756,0.5559852969238102,0.0745137929916381,-0.0484124172493347,0.0558645917842308
A2C,contrastive,20260814,1.2192962577742146,0.6481126996191154,0.4080127477645874,-0.1562344748821437,0.2076737091234834
A2C,contrastive,111,1.084794570079096,0.7049984673733752,0.4883977174758911,-0.1310300282966147,0.1594157350893637
A2C,contrastive,222,0.8946922816700021,1.26496819215275,0.8852708339691162,-0.2062712209204997,0.2577997759281106
A2C,contrastive,333,0.5861000546669041,-0.207558374541018,-0.1642460823059082,-0.2645231129528649,0.1420397175216482
A2C,contrastive,444,0.9427666648156836,0.4030510246450352,0.2269676923751831,-0.1910394821641249,0.1706312239095939
A2C,contrastive,555,0.5169265100092237,0.6709421736623487,0.3916221857070923,-0.2021996794783347,0.0750375067212836
A2C,contrastive,666,0.9694388044200816,0.4206894769981186,0.2372297048568725,-0.1408542064364395,0.1846977088433593
A2C,contrastive,777,0.842652812260372,0.5970018698333152,0.3539465665817261,-0.139410132669582,0.1562984321729757
A2C,contrastive,888,1.3878720855428737,0.6423702215899122,0.3825592994689941,-0.1452022553345594,0.1184924207331232
A2C,contrastive,999,0.9061795403988488,0.1205089825560928,0.0268025398254394,-0.1728583367920321,0.1604462882031255
IQL,contrastive,20260814,0.1286188449936574,0.6076620705654576,0.0770007371902465,-0.0441584438660958,0.0552970590936344
IQL,contrastive,111,0.132134542577173,0.6725699236571909,0.0929453372955322,-0.0484861329327281,0.0517618139402996
IQL,contrastive,222,0.0246150900545358,0.57002061542369,0.0836853981018066,-0.0512674845381736,0.0521552853873555
IQL,contrastive,333,0.2086363777039791,0.794423494441444,0.1117212772369384,-0.0450469603247445,0.0554595972487207
IQL,contrastive,444,0.1564721284309736,0.5962577060813397,0.076517105102539,-0.0472464668322798,0.0544860801642149
IQL,contrastive,555,0.2094684798027112,0.6571630153409214,0.073297381401062,-0.0365276113359069,0.0538657724651721
IQL,contrastive,666,0.0414755650363763,0.5786906314189422,0.0747045278549194,-0.0495918544276894,0.0597111923087258
IQL,contrastive,777,0.1198244651970227,0.4109667853711597,0.0492615699768066,-0.0448232875900178,0.0544158506356017
IQL,contrastive,888,0.282941142718025,0.7091592502905425,0.0983885526657104,-0.0444344943595517,0.0620592606460689
IQL,contrastive,999,0.183489269616952,0.6113103318281032,0.0805364847183227,-0.0441061072157925,0.0568852555230306
