axis,size,objective,n_seeds,cross_seed_cka,dir1_auc_mean,dir1_auc_std,mag_r2_mean,mag_r2_std,vol20_r2_mean,vol20_r2_std,regime_bacc_mean,regime_bacc_std,effective_rank_mean,effective_rank_std,supervised_sharpe_mean,supervised_sharpe_std
dim,4,auto,10,0.872531365023719,0.4973160121328225,0.008203984616821503,0.09549827522726548,0.0271663466806972,0.18683100636048566,0.09158713047475783,0.6913450106998495,0.14117404994967556,1.9180274724960327,0.17736774807018676,0.8033394513540232,0.13713629854455986
dim,8,auto,10,0.9581163512335883,0.48959610472541504,0.007754707295948896,0.11714720364090163,0.01375538616104294,0.20285378652023178,0.07666335033819177,0.6750740686224557,0.11256142822772161,2.3274085760116576,0.11529305862271783,0.7717439769525507,0.15830768003880233
dim,16,auto,10,0.9831960267490811,0.5019193007662835,0.012003389537337518,0.10573860264616763,0.021365326443633294,0.21222882773330767,0.06007430032589357,0.7614043033397871,0.1470187870954454,2.9786097764968873,0.07593257728414216,0.7722324892314756,0.1861058214269337
dim,32,auto,10,0.9872628821267022,0.5087986909323117,0.010530580798392771,0.07361996931775165,0.0223508114735444,0.20036921549871348,0.06154260849340677,0.6228751583590293,0.06232597344236759,3.7852126121520997,0.08476684165968285,0.861922662528731,0.26381484913999625
dim,64,auto,10,0.9907313876681858,0.5028951149425287,0.007365613028134748,0.04995716067031769,0.01856486414848012,0.12680915029390455,0.12348952170354605,0.619786606883381,0.07485135675593882,4.570095586776733,0.11045465180509711,0.86396820170638,0.18546700114441994
dim,128,auto,10,0.9915671414799161,0.5077350734355044,0.018658715363061972,0.0044791381641600455,0.03803873753681466,0.024493730866164243,0.08048951728743925,0.6138224944676558,0.06120615829511292,4.837252902984619,0.07678774357358185,0.6739869760300128,0.45809047115332574
dim,4,predictive,10,0.7398837049802144,0.5122210249042144,0.009664290196109534,0.11693522667656486,0.030197045435031364,0.2845843482912913,0.1119463258622374,0.6060383382964029,0.14110964463660147,1.749604094028473,0.2989338569163668,0.8041463307441106,0.09640347201185895
dim,8,predictive,10,0.8496079431639777,0.503287037037037,0.01146846007135622,0.10641264893581645,0.023617259282380298,0.31026942562530213,0.07181843476366588,0.7804785933818191,0.09253903008408253,2.121940577030182,0.38556324656949725,0.9689154433196748,0.19003980629707412
dim,16,predictive,10,0.9130993790096706,0.5060113346104727,0.011246691614903551,0.06861971174736209,0.016035577363238008,0.1920449081237118,0.08989677515260809,0.7653314814605137,0.1152182054547156,2.5327401876449587,0.32366522681116483,0.872443511162302,0.20921162603697435
dim,32,predictive,10,0.9565411885579427,0.5051081577266923,0.01309331102256986,0.05482469421111612,0.030481962999014692,0.1759549061960138,0.07164093154304337,0.7264317103026781,0.09398042821834116,2.4428273916244505,0.3184521073640769,0.7558330013254407,0.23220370153212375
dim,64,predictive,10,0.9748562455177308,0.5172768997445722,0.006815343026916097,0.027789368233146282,0.040414869865009334,0.1182413765226638,0.0522228812825912,0.5936177065209324,0.03172469857371468,2.3390228509902955,0.21489892676314112,0.8353482722830664,0.24310734216106644
dim,128,predictive,10,0.9642298234833612,0.5139715038314177,0.007474372155045151,-0.009253535824444136,0.033628624915444,0.05345898111598938,0.10749771250199305,0.5801497349884446,0.010417598080500488,2.6051143169403077,0.3339177490711676,0.7514648787087176,0.24074170421405097
dim,4,contrastive,10,0.8415266990661621,0.4982890325670498,0.0068843773942682054,0.09712218654971945,0.02556949444166566,0.15503654947566514,0.08306962758521211,0.539969378679056,0.1424471065860581,2.0388247847557066,0.27150230879565374,0.8327247400562967,0.07450957222164671
dim,8,contrastive,10,0.9095895581775242,0.501599217752235,0.00722905193600689,0.10126682059698573,0.03161483630215319,0.12145496976750603,0.15537039951907913,0.5926277345632184,0.1080228082642397,2.3069008588790894,0.1967439630265539,0.7216796177736804,0.1852345808336642
dim,16,contrastive,10,0.9468589398596022,0.5043793901660282,0.017873763884240525,0.08709145359292542,0.02185503820656565,0.16341315887794766,0.10556075257459585,0.7649172004010715,0.10656514021928568,2.94181170463562,0.2521307372185741,0.834062013494178,0.26586834976190626
dim,32,contrastive,10,0.9717937562200758,0.5002949393358876,0.010682984590686,0.06478014849586472,0.018711706115196507,0.16373162996245144,0.0662604055815005,0.8047260498873403,0.06762076559724178,3.3180386066436767,0.2024885207718623,0.7408545968948971,0.29222970157853473
dim,64,contrastive,10,0.9811885396639506,0.50737188697318,0.012428651134113494,0.05542652828988794,0.02337005871572472,0.1552773992746001,0.047695152848316553,0.8192638805542032,0.06311370109910364,3.8100818157196046,0.0731725235576664,0.6297117626051019,0.34264512749569254
dim,128,contrastive,10,0.9817664305369059,0.5058469029374202,0.013375952713067199,0.017870484527164665,0.03177035466626598,-0.006577673804011519,0.07484612956071965,0.8211026694897663,0.06821507646860549,5.113996171951294,0.19266044146145225,0.4865589936015916,0.46994676428202475
