model,bps,crisis_mult,vol_k,sharpe_model_mean,sharpe_model_std,sharpe_em_mean,sharpe_em_std,margin_mean,wins_vs_em
D-minus-fuzzy,2.0,1.0,2.0,-0.2692,0.0634,0.0275,0.0556,-0.2967,0
D-minus-fuzzy,5.0,1.0,0.5,-0.3679,0.0572,-0.063,0.0503,-0.3049,0
D-minus-fuzzy,5.0,1.0,1.0,-0.3288,0.0596,-0.0266,0.0522,-0.3022,0
D-minus-fuzzy,5.0,1.0,2.0,-0.3153,0.0605,-0.0143,0.0526,-0.301,0
C+ (hybrid z-only),0.0,1.0,0.0,-0.3637,0.0837,-0.585,0.1145,0.2212,5
C+ (hybrid z-only),0.5,1.0,0.0,-0.3882,0.0853,-0.589,0.1186,0.2009,5
C+ (hybrid z-only),1.0,1.0,0.0,-0.4126,0.087,-0.5931,0.1228,0.1806,5
C+ (hybrid z-only),2.0,1.0,0.0,-0.4613,0.0904,-0.6013,0.1311,0.1399,5
C+ (hybrid z-only),5.0,1.0,0.0,-0.6076,0.1012,-0.6257,0.1566,0.0181,2
C+ (hybrid z-only),10.0,1.0,0.0,-0.8505,0.1205,-0.6664,0.1998,-0.1841,0
C+ (hybrid z-only),1.0,5.0,0.0,-0.413,0.0872,-0.5936,0.1231,0.1806,5
C+ (hybrid z-only),5.0,5.0,0.0,-0.6098,0.1027,-0.6279,0.1581,0.0181,2
C+ (hybrid z-only),0.5,1.0,0.5,-0.3799,0.0849,-0.588,0.1175,0.2081,5
C+ (hybrid z-only),0.5,1.0,1.0,-0.3722,0.0845,-0.587,0.1165,0.2148,5
C+ (hybrid z-only),0.5,1.0,2.0,-0.369,0.0843,-0.5866,0.1161,0.2176,5
C+ (hybrid z-only),1.0,1.0,0.5,-0.396,0.0862,-0.591,0.1206,0.195,5
C+ (hybrid z-only),1.0,1.0,1.0,-0.3807,0.0854,-0.589,0.1185,0.2084,5
C+ (hybrid z-only),1.0,1.0,2.0,-0.3743,0.0849,-0.5882,0.1176,0.2139,5
C+ (hybrid z-only),2.0,1.0,0.5,-0.4283,0.0887,-0.5971,0.1267,0.1687,5
C+ (hybrid z-only),2.0,1.0,1.0,-0.3976,0.0872,-0.5931,0.1226,0.1955,5
C+ (hybrid z-only),2.0,1.0,2.0,-0.3848,0.0861,-0.5914,0.1207,0.2067,5
C+ (hybrid z-only),5.0,1.0,0.5,-0.5252,0.0968,-0.6152,0.1453,0.09,5
C+ (hybrid z-only),5.0,1.0,1.0,-0.4483,0.0927,-0.6053,0.1348,0.157,5
C+ (hybrid z-only),5.0,1.0,2.0,-0.4163,0.0901,-0.6012,0.1301,0.1848,5
C+ (hybrid z+macro),0.0,1.0,0.0,-0.3486,0.2017,-0.5358,0.1047,0.1872,4
C+ (hybrid z+macro),0.5,1.0,0.0,-0.389,0.2026,-0.5399,0.1088,0.1509,4
C+ (hybrid z+macro),1.0,1.0,0.0,-0.4295,0.2035,-0.544,0.113,0.1145,4
C+ (hybrid z+macro),2.0,1.0,0.0,-0.5104,0.2053,-0.5522,0.1214,0.0418,4
C+ (hybrid z+macro),5.0,1.0,0.0,-0.7528,0.2105,-0.5767,0.1471,-0.176,0
C+ (hybrid z+macro),10.0,1.0,0.0,-1.1552,0.219,-0.6177,0.1907,-0.5375,0
C+ (hybrid z+macro),1.0,5.0,0.0,-0.4313,0.2041,-0.5444,0.1133,0.1131,4
C+ (hybrid z+macro),5.0,5.0,0.0,-0.7618,0.2134,-0.579,0.1486,-0.1828,0
C+ (hybrid z+macro),0.5,1.0,0.5,-0.3761,0.2024,-0.5388,0.1077,0.1628,4
C+ (hybrid z+macro),0.5,1.0,1.0,-0.3642,0.2023,-0.5379,0.1067,0.1736,4
C+ (hybrid z+macro),0.5,1.0,2.0,-0.3589,0.2021,-0.5374,0.1062,0.1785,4
C+ (hybrid z+macro),1.0,1.0,0.5,-0.4036,0.2031,-0.5419,0.1108,0.1383,4
C+ (hybrid z+macro),1.0,1.0,1.0,-0.3799,0.2028,-0.5399,0.1087,0.16,4
C+ (hybrid z+macro),1.0,1.0,2.0,-0.3692,0.2026,-0.5391,0.1078,0.1698,4
C+ (hybrid z+macro),2.0,1.0,0.5,-0.4586,0.2045,-0.548,0.117,0.0894,4
C+ (hybrid z+macro),2.0,1.0,1.0,-0.4112,0.204,-0.544,0.1128,0.1328,4
C+ (hybrid z+macro),2.0,1.0,2.0,-0.3899,0.2034,-0.5423,0.1109,0.1524,4
C+ (hybrid z+macro),5.0,1.0,0.5,-0.6236,0.2088,-0.5662,0.1357,-0.0573,0
C+ (hybrid z+macro),5.0,1.0,1.0,-0.5051,0.2073,-0.5564,0.1252,0.0513,4
C+ (hybrid z+macro),5.0,1.0,2.0,-0.4518,0.206,-0.5522,0.1205,0.1003,4
