model,bps,crisis_mult,vol_k,sharpe_model_mean,sharpe_model_std,sharpe_em_mean,sharpe_em_std,margin_mean,wins_vs_em
D-minus-fuzzy,0.5,1.0,0.0,-0.2744,0.0692,0.0342,0.0679,-0.3086,0
D-minus-fuzzy,1.0,1.0,0.0,-0.2916,0.0681,0.0184,0.0671,-0.31,0
D-minus-fuzzy,2.0,1.0,0.0,-0.3259,0.0657,-0.0131,0.0654,-0.3128,0
D-minus-fuzzy,5.0,1.0,0.0,-0.4288,0.0589,-0.1076,0.0606,-0.3212,0
D-minus-fuzzy,10.0,1.0,0.0,-0.6001,0.0484,-0.265,0.0541,-0.3351,0
D-minus-fuzzy,1.0,5.0,0.0,-0.2944,0.0679,0.0157,0.0669,-0.3101,0
D-minus-fuzzy,5.0,5.0,0.0,-0.443,0.0579,-0.1212,0.0601,-0.3218,0
D-minus-fuzzy,0.5,1.0,0.5,-0.2703,0.0695,0.038,0.0681,-0.3083,0
D-minus-fuzzy,0.5,1.0,1.0,-0.2665,0.0698,0.0416,0.0683,-0.3081,0
D-minus-fuzzy,0.5,1.0,2.0,-0.2652,0.0698,0.0428,0.0683,-0.308,0
D-minus-fuzzy,1.0,1.0,0.5,-0.2834,0.0686,0.026,0.0674,-0.3095,0
D-minus-fuzzy,1.0,1.0,1.0,-0.2757,0.0691,0.0332,0.0677,-0.3089,0
D-minus-fuzzy,1.0,1.0,2.0,-0.2731,0.0692,0.0356,0.0678,-0.3087,0
D-minus-fuzzy,2.0,1.0,0.5,-0.3096,0.0667,0.0021,0.0661,-0.3117,0
D-minus-fuzzy,2.0,1.0,1.0,-0.2941,0.0677,0.0165,0.0667,-0.3107,0
D-minus-fuzzy,2.0,1.0,2.0,-0.289,0.0679,0.0213,0.0668,-0.3103,0
D-minus-fuzzy,5.0,1.0,0.5,-0.388,0.0613,-0.0695,0.0622,-0.3185,0
D-minus-fuzzy,5.0,1.0,1.0,-0.3494,0.0636,-0.0336,0.0637,-0.3158,0
D-minus-fuzzy,5.0,1.0,2.0,-0.3366,0.0642,-0.0218,0.0639,-0.3148,0
C+ (hybrid z-only),0.0,1.0,0.0,-0.331,0.038,-0.5492,0.0602,0.2182,5
C+ (hybrid z-only),0.5,1.0,0.0,-0.3556,0.0376,-0.5522,0.0602,0.1967,5
C+ (hybrid z-only),1.0,1.0,0.0,-0.3801,0.0374,-0.5552,0.0602,0.1752,5
C+ (hybrid z-only),2.0,1.0,0.0,-0.4291,0.0371,-0.5613,0.0604,0.1322,5
C+ (hybrid z-only),5.0,1.0,0.0,-0.576,0.0379,-0.5794,0.063,0.0034,2
C+ (hybrid z-only),10.0,1.0,0.0,-0.8201,0.0445,-0.6097,0.0723,-0.2104,0
