date,P_up_can,P_up_ens,sign_can,sign_ens,fP,fP_vol,vol20d,ret,ret_sign
2023-06-27,0.565183055461614,0.5594359554968167,1.0,1.0,0.13036611092322792,1.275322454521239,0.10222207760951553,0.0034447124,1.0
2023-06-28,0.5512363478563563,0.5552669815369761,1.0,1.0,0.10247269571271267,1.0316973697630136,0.09932437429422854,0.0030438264,1.0
2023-06-29,0.5226240746984732,0.5150168396119402,1.0,1.0,0.045248149396946324,0.44813880644702125,0.10096904964711093,0.010335858,1.0
2023-06-30,0.5683727126030093,0.5628951826696215,1.0,1.0,0.1367454252060185,1.5065814790909726,0.09076536988130686,0.0025744676,1.0
2023-07-03,0.5469256150469843,0.5446100993717272,1.0,1.0,0.09385123009396867,1.0405912673577529,0.09019029184462957,-0.0025228066,-1.0
2023-07-05,0.5619837797613483,0.5551476323805373,1.0,1.0,0.12396755952269656,1.2971331594121849,0.09557041898371814,-0.007542398,-1.0
2023-07-06,0.5659049436119374,0.5584088980424969,1.0,1.0,0.13180988722387488,1.4027259391540865,0.09396695644151472,-0.0017292771,-1.0
2023-07-07,0.5449982815321465,0.550373236416672,1.0,1.0,0.08999656306429293,0.9681570946212841,0.0929565703378924,0.0021653408,1.0
2023-07-10,0.5458025795751777,0.5501464781205095,1.0,1.0,0.0916051591503555,0.9695406837733188,0.09448304819333711,0.006209061,1.0
2023-07-11,0.5503718749604418,0.5439920317687247,1.0,1.0,0.10074374992088364,1.0660299357796645,0.09450367812345015,0.009018783,1.0
2023-07-12,0.5573054244493255,0.561147990329833,1.0,1.0,0.11461084889865103,1.212403157225461,0.09453196176174074,0.006653226,1.0
2023-07-13,0.56812518882961,0.5774071694802623,1.0,1.0,0.1362503776592201,1.4379625674620218,0.09475238141956614,-0.0004005608,-1.0
2023-07-14,0.5447147217121272,0.5385990049739083,1.0,1.0,0.0894294434242544,1.0127263357535121,0.08830563624842938,0.0024488524,1.0
2023-07-17,0.5491196127257161,0.5588430803188309,1.0,1.0,0.09823922545143216,1.1074144442531704,0.08871044256397048,0.008327967,1.0
2023-07-18,0.528040914714608,0.5280448280285678,1.0,1.0,0.056081829429216024,0.6553520127020573,0.08557512350955807,-6.607347e-05,-1.0
2023-07-19,0.5459710028989982,0.5485238295546915,1.0,1.0,0.0919420057979965,1.0953590293241333,0.08393778052364004,-0.0038765667,-1.0
2023-07-20,0.49637534089782853,0.48142316943774377,-1.0,-1.0,0.007249318204342936,0.08610964872377623,0.08418706047213598,-0.0006633499,-1.0
2023-07-21,0.5428180756034587,0.5427549603928402,1.0,1.0,0.08563615120691748,1.1410778355464448,0.07504847481846637,0.0051554376,1.0
2023-07-24,0.5380783617309653,0.5329892151429703,1.0,1.0,0.0761567234619307,1.0313375596284362,0.07384267425436146,0.0023113498,1.0
2023-07-25,0.5634555290908976,0.5552122875145215,1.0,1.0,0.12691105818179516,1.765703075212506,0.07187565110091976,0.0005929765,1.0
2023-07-26,0.5403131117605332,0.5489947167587012,1.0,1.0,0.08062622352106641,1.038130236476903,0.07766484462940526,-0.0061676907,-1.0
